"Report_ID","Date","Status","Location","Incident_Category","Incident_Type","Description","Report","Report_Time","Length"
1701332,"4/14/17","Cleared by Exceptional Means","2943 Walton Av","ALCOHOL","ALCOHOL                                    Unlawful Possession of Alcohol",NA," 4/14/17 - 10:56 pm                     Location: 2943 WALTON AV                                              Report #: 1701332
Occurred: 4/14/17 - 10:56 pm      to 4/14/17 - 10:01 am                                   Disposition: Cleared by Exceptional Means
Incident: ALCOHOL                                    Unlawful Possession of Alcohol
Summary:","4/14/17 - 10:56 pm","4/14/17 - 10:56 pm      to 4/14/17 - 10:01 am"
1701333,"4/20/17","Inactive Investigation","Outside Usc Area","THEFT MOTOR VEHICLE","THEFT-MOTOR VEHICLE                        Theft from Motor Vehicle","A suspect removed a backpack."," 4/20/17 - 8:14 am                      Location: OUTSIDE USC AREA                                            Report #: 1701333
Occurred: 4/17/17 - 6:00 pm       to 4/18/17 - 5:00 am                                    Disposition: Inactive Investigation
Incident: THEFT-MOTOR VEHICLE                        Theft from Motor Vehicle
Summary: A suspect removed a backpack.","4/20/17 - 8:14 am","4/17/17 - 6:00 pm       to 4/18/17 - 5:00 am"
NA,"4/20/17","CLOSED","George Finley Bovard Administration","SERVICE","SERVICE                                    Suspicious Circumstances","A staff member reported that her office has been receiving numerous annoying email messages from a parent regarding the"," 4/20/17 - 12:23 pm                     Location: GEORGE FINLEY BOVARD ADMINISTRATION                         Report #: 1701334
                                                             BUILDING
Occurred: 4/20/17 - 12:23 pm      to 4/20/17 - 2:08 pm                                    Disposition: CLOSED
Incident: SERVICE                                    Suspicious Circumstances
Summary: A staff member reported that her office has been receiving numerous annoying email messages from a parent regarding the
          results of an academic investigation of his son.
          cc: Student Affairs, Judicial Affairs, HR","4/20/17 - 12:23 pm","4/20/17 - 12:23 pm      to 4/20/17 - 2:08 pm"
1701335,"4/20/17","CLOSED","Mark Taper Hall Of Humanities","TRAFFIC","TRAFFIC                                    Traffic Collision-Bicycle","A student was struck by an unidentified male on a bicycle while riding her scooter near the location, causing her to fall to the"," 4/20/17 - 3:50 pm                      Location: MARK TAPER HALL OF HUMANITIES                               Report #: 1701335
Occurred: 4/20/17 - 3:50 pm       to 4/20/17 - 4:21 pm                                    Disposition: CLOSED
Incident: TRAFFIC                                    Traffic Collision-Bicycle
Summary: A student was struck by an unidentified male on a bicycle while riding her scooter near the location, causing her to fall to the
          ground. The male then rode away without stopping to check on the student's welfare. The student sustained abrasions to her
          leg and a bump to her head and was transported to SHC for medical treatment.
          cc: Student Affairs, Risk Management","4/20/17 - 3:50 pm","4/20/17 - 3:50 pm       to 4/20/17 - 4:21 pm"
1701336,"4/20/17","CLOSED","Figueroa Building","SERVICE","SERVICE                                    Suspicious Circumstances","A student reported that a subject to whom she intended to sublet her apartment sent her a check in excess of the payment she"," 4/20/17 - 4:03 pm                      Location: FIGUEROA BUILDING                                           Report #: 1701336
Occurred: 4/20/17 - 4:03 pm       to 4/20/17 - 4:53 pm                                    Disposition: CLOSED
Incident: SERVICE                                    Suspicious Circumstances
Summary: A student reported that a subject to whom she intended to sublet her apartment sent her a check in excess of the payment she
          required and requested that she wire the difference to a travel agent's account. The student subsequently learned that the
          check was fraudulent and cancelled the transaction.
          cc: Student Affairs","4/20/17 - 4:03 pm","4/20/17 - 4:03 pm       to 4/20/17 - 4:53 pm"
NA,"4/20/17","CLOSED","Elisabeth Von Kleinsmid Memorial","SERVICE","SERVICE                                    Illness Response","A staff member was examined and released at the scene after complaining of dizziness."," 4/20/17 - 5:49 pm                      Location: ELISABETH VON KLEINSMID MEMORIAL                            Report #: 1701337
                                                             RESIDENCE HALL
Occurred: 4/20/17 - 5:49 pm       to 4/20/17 - 6:20 pm                                    Disposition: CLOSED
Incident: SERVICE                                    Illness Response
Summary: A staff member was examined and released at the scene after complaining of dizziness.
","4/20/17 - 5:49 pm","4/20/17 - 5:49 pm       to 4/20/17 - 6:20 pm"
1701338,"4/21/17","CLOSED","Gamma Phi Beta","SERVICE","SERVICE                                  Injury Response","A student was transported to a local hospital for medical treatment after falling and hitting her head."," 4/21/17 - 1:51 am                    Location: GAMMA PHI BETA                                                 Report #: 1701338
Occurred: 4/21/17 - 1:51 am       to 4/21/17 - 2:11 am                                      Disposition: CLOSED
Incident: SERVICE                                  Injury Response
Summary: A student was transported to a local hospital for medical treatment after falling and hitting her head.
          cc: Student Affairs, Risk Management","4/21/17 - 1:51 am","4/21/17 - 1:51 am       to 4/21/17 - 2:11 am"
1701339,"4/21/17","CLOSED","Jewel Manor Apartments","DOMESTIC VIOLENCE","DOMESTIC VIOLENCE                        Willfull Infliction of Corporal Injury","A staff member was arrested for assaulting his girlfriend."," 4/21/17 - 1:24 am                    Location: JEWEL MANOR APARTMENTS                                         Report #: 1701339
Occurred: 4/21/17 - 1:24 am       to 4/21/17 - 3:08 am                                      Disposition: CLOSED
Incident: DOMESTIC VIOLENCE                        Willfull Infliction of Corporal Injury
Summary: A staff member was arrested for assaulting his girlfriend.
          cc: HR","4/21/17 - 1:24 am","4/21/17 - 1:24 am       to 4/21/17 - 3:08 am"
1701340,"4/21/17","CLOSED","Ronald Tutor Campus Center","PROPERTY","PROPERTY                                 Lost/Missing Property","A student reported his USC ID missing."," 4/21/17 - 9:57 am                    Location: RONALD TUTOR CAMPUS CENTER                                     Report #: 1701340
Occurred: 4/20/17 - 1:00 pm       to 4/20/17 - 1:30 pm                                      Disposition: CLOSED
Incident: PROPERTY                                 Lost/Missing Property
Summary: A student reported his USC ID missing.","4/21/17 - 9:57 am","4/20/17 - 1:00 pm       to 4/20/17 - 1:30 pm"
1701341,"4/21/17","Inactive Investigation","Hillel Jewish Center","THEFT PETTY","THEFT-PETTY                              Theft Petty-Plain","A suspect removed a cellular phone."," 4/21/17 - 10:36 am                   Location: HILLEL JEWISH CENTER                                           Report #: 1701341
Occurred: 4/21/17 - 9:00 am       to 4/21/17 - 9:30 am                                      Disposition: Inactive Investigation
Incident: THEFT-PETTY                              Theft Petty-Plain
Summary: A suspect removed a cellular phone.","4/21/17 - 10:36 am","4/21/17 - 9:00 am       to 4/21/17 - 9:30 am"
1701342,"4/21/17","CLOSED","Ronald Tutor Campus Center","FRAUD","FRAUD                                    Fraud-General","A suspect used counterfeit twenty dollar bills to pay for food at a restaurant inside the location on two consecutive days."," 4/21/17 - 10:04 am                   Location: RONALD TUTOR CAMPUS CENTER                                     Report #: 1701342
Occurred: 4/21/17 - 10:04 am      to 4/21/17 - 11:52 am                                     Disposition: CLOSED
Incident: FRAUD                                    Fraud-General
Summary: A suspect used counterfeit twenty dollar bills to pay for food at a restaurant inside the location on two consecutive days.","4/21/17 - 10:04 am","4/21/17 - 10:04 am      to 4/21/17 - 11:52 am"
NA,"4/21/17","CLOSED","Elisabeth Von Kleinsmid Memorial","SERVICE","SERVICE                                  Illness Response","A staff member was examined and released at the scene after complaining of dizziness."," 4/21/17 - 11:10 am                   Location: ELISABETH VON KLEINSMID MEMORIAL                               Report #: 1701343
                                                             RESIDENCE HALL
Occurred: 4/21/17 - 11:10 am      to 4/21/17 - 12:00 pm                                     Disposition: CLOSED
Incident: SERVICE                                  Illness Response
Summary: A staff member was examined and released at the scene after complaining of dizziness.","4/21/17 - 11:10 am","4/21/17 - 11:10 am      to 4/21/17 - 12:00 pm"
1701344,"4/21/17","CLOSED","Keck Hospital Of Usc","ALARM RESPONSE","ALARM RESPONSE                           Environmental Alarm","A radiation alarm was activated by the contents of a trash bag."," 4/21/17 - 2:14 pm                    Location: KECK HOSPITAL OF USC                                           Report #: 1701344
Occurred: 4/21/17 - 2:14 pm       to 4/21/17 - 2:20 pm                                      Disposition: CLOSED
Incident: ALARM RESPONSE                           Environmental Alarm
Summary: A radiation alarm was activated by the contents of a trash bag.
          cc: Safety
","4/21/17 - 2:14 pm","4/21/17 - 2:14 pm       to 4/21/17 - 2:20 pm"
1701345,"4/21/17","CLOSED","The Lorenzo Apartments","SERVICE","SERVICE                                   Suspicious Circumstances","A student reported that he applied for a job posted on a University web site and was subsequently advised that the post was"," 4/21/17 - 12:10 pm                    Location: THE LORENZO APARTMENTS                                       Report #: 1701345
Occurred: 4/21/17 - 12:10 pm     to 4/21/17 - 2:59 pm                                       Disposition: CLOSED
Incident: SERVICE                                   Suspicious Circumstances
Summary: A student reported that he applied for a job posted on a University web site and was subsequently advised that the post was
          fraudulent.
          cc: Student Affairs","4/21/17 - 12:10 pm","4/21/17 - 12:10 pm     to 4/21/17 - 2:59 pm"
1701346,"4/21/17","CLOSED","Keck Hospital Of Usc","SERVICE","SERVICE                                   Illness Response","A non-USC female was examined and released at the scene after fainting."," 4/21/17 - 3:23 pm                     Location: KECK HOSPITAL OF USC                                         Report #: 1701346
Occurred: 4/21/17 - 3:23 pm      to 4/21/17 - 4:16 pm                                       Disposition: CLOSED
Incident: SERVICE                                   Illness Response
Summary: A non-USC female was examined and released at the scene after fainting.","4/21/17 - 3:23 pm","4/21/17 - 3:23 pm      to 4/21/17 - 4:16 pm"
1701347,"4/21/17","Inactive Investigation","Ralphs Supermarket","PROPERTY","PROPERTY                                  Damaged Property","A student reported that the driver's side doors were scratched while his vehicle was parked at the location."," 4/21/17 - 4:01 pm                     Location: RALPHS SUPERMARKET                                           Report #: 1701347
Occurred: 4/20/17 - 10:00 pm     to 4/20/17 - 10:40 pm                                      Disposition: Inactive Investigation
Incident: PROPERTY                                  Damaged Property
Summary: A student reported that the driver's side doors were scratched while his vehicle was parked at the location.","4/21/17 - 4:01 pm","4/20/17 - 10:00 pm     to 4/20/17 - 10:40 pm"
1701348,"4/21/17","Inactive Investigation","33Rd St & Hope St","THEFT MOTOR VEHICLE","THEFT-MOTOR VEHICLE                       Theft from Motor Vehicle","A suspect removed a gas can from the bed of a pickup truck."," 4/21/17 - 12:50 pm                    Location: 33RD ST & HOPE ST                                            Report #: 1701348
Occurred: 4/21/17 - 12:50 pm     to 4/21/17 - 2:46 pm                                       Disposition: Inactive Investigation
Incident: THEFT-MOTOR VEHICLE                       Theft from Motor Vehicle
Summary: A suspect removed a gas can from the bed of a pickup truck.","4/21/17 - 12:50 pm","4/21/17 - 12:50 pm     to 4/21/17 - 2:46 pm"
1701349,"4/21/17","Cleared by Exceptional Means","Banditos Tacos & Tequila","VEHICLE CODE","VEHICLE CODE                              Possession Fake Identification","Six students were arrested for using fake Id's to gain entry to the location, cited and released."," 4/21/17 - 10:21 pm                    Location: BANDITOS TACOS & TEQUILA                                     Report #: 1701349
Occurred: 4/20/17 - 10:30 pm     to 4/21/17 - 1:30 am                                       Disposition: Cleared by Exceptional Means
Incident: VEHICLE CODE                              Possession Fake Identification
Summary: Six students were arrested for using fake Id's to gain entry to the location, cited and released.
          cc: Student Affairs, Judicial Affairs","4/21/17 - 10:21 pm","4/20/17 - 10:30 pm     to 4/21/17 - 1:30 am"
1701350,"4/21/17","Inactive Investigation","Adams Bl & Magnolia St","THEFT GRAND AUTO","THEFT-GRAND AUTO                          Grand Theft Auto","A suspect removed a white, 2004 Lexus ES350 that was parked near the location."," 4/21/17 - 4:33 pm                     Location: ADAMS BL & MAGNOLIA ST                                       Report #: 1701350
Occurred: 4/21/17 - 7:45 am      to 4/21/17 - 5:15 pm                                       Disposition: Inactive Investigation
Incident: THEFT-GRAND AUTO                          Grand Theft Auto
Summary: A suspect removed a white, 2004 Lexus ES350 that was parked near the location.","4/21/17 - 4:33 pm","4/21/17 - 7:45 am      to 4/21/17 - 5:15 pm"
1701351,"4/21/17","Inactive Investigation","Mccarthy Quad","THEFT GRAND","THEFT-GRAND                               Theft Grand-Plain","A suspect removed a laptop computer, a tablet computer and miscellaneous audio equipment."," 4/21/17 - 7:40 pm                     Location: MCCARTHY QUAD                                                Report #: 1701351
Occurred: 4/21/17 - 1:30 pm      to 4/21/17 - 5:00 pm                                       Disposition: Inactive Investigation
Incident: THEFT-GRAND                               Theft Grand-Plain
Summary: A suspect removed a laptop computer, a tablet computer and miscellaneous audio equipment.
","4/21/17 - 7:40 pm","4/21/17 - 1:30 pm      to 4/21/17 - 5:00 pm"
1701352,"4/21/17","CLOSED","Thomas & Dorothy Leavey Library","PROPERTY","PROPERTY                                 Recovered Property Without a Crime","A laptop computer was found at the location and turned in to DPS Lost & Found."," 4/21/17 - 8:35 pm                     Location: THOMAS & DOROTHY LEAVEY LIBRARY                                Report #: 1701352
Occurred: 4/21/17 - 8:35 pm       to 4/21/17 - 8:57 pm                                      Disposition: CLOSED
Incident: PROPERTY                                 Recovered Property Without a Crime
Summary: A laptop computer was found at the location and turned in to DPS Lost & Found.","4/21/17 - 8:35 pm","4/21/17 - 8:35 pm       to 4/21/17 - 8:57 pm"
1701353,"4/21/17","CLOSED","Ronald Tutor Campus Center","PROPERTY","PROPERTY                                 Lost/Missing Property","A student reported his wallet missing."," 4/21/17 - 9:20 pm                     Location: RONALD TUTOR CAMPUS CENTER                                     Report #: 1701353
Occurred: 4/20/17 - 11:00 pm      to 4/20/17 - 11:30 pm                                     Disposition: CLOSED
Incident: PROPERTY                                 Lost/Missing Property
Summary: A student reported his wallet missing.","4/21/17 - 9:20 pm","4/20/17 - 11:00 pm      to 4/20/17 - 11:30 pm"
1701354,"4/21/17","Inactive Investigation","Ralphs Supermarket","THEFT GRAND","THEFT-GRAND                              Theft Grand-Plain","A suspect removed a purse."," 4/21/17 - 8:11 pm                     Location: RALPHS SUPERMARKET                                             Report #: 1701354
Occurred: 4/21/17 - 8:11 pm       to 4/21/17 - 10:03 pm                                     Disposition: Inactive Investigation
Incident: THEFT-GRAND                              Theft Grand-Plain
Summary: A suspect removed a purse.","4/21/17 - 8:11 pm","4/21/17 - 8:11 pm       to 4/21/17 - 10:03 pm"
1701355,"4/21/17","Cleared by Exceptional Means","Outside Usc Area","ALCOHOL","ALCOHOL                                  Drunk In Public","An intoxicated student was picked up by officers and transported to her residence after a security guard found her staggering"," 4/21/17 - 9:53 pm                     Location: OUTSIDE USC AREA                                               Report #: 1701355
Occurred: 4/21/17 - 9:50 pm       to 4/21/17 - 10:43 pm                                     Disposition: Cleared by Exceptional Means
Incident: ALCOHOL                                  Drunk In Public
Summary: An intoxicated student was picked up by officers and transported to her residence after a security guard found her staggering
          down Sunset Bl.
          cc: Student Affairs, Judicial Affairs","4/21/17 - 9:53 pm","4/21/17 - 9:50 pm       to 4/21/17 - 10:43 pm"
1701356,"4/21/17","CLOSED","Downey Way Structure","FIRE","FIRE                                     Fire-Trash","A possible discarded cigarette ignited a fire in a trash can inside the location and an officer subsequently put it out with a fire"," 4/21/17 - 10:52 pm                    Location: DOWNEY WAY STRUCTURE                                           Report #: 1701356
Occurred: 4/21/17 - 10:52 pm      to 4/21/17 - 11:01 pm                                     Disposition: CLOSED
Incident: FIRE                                     Fire-Trash
Summary: A possible discarded cigarette ignited a fire in a trash can inside the location and an officer subsequently put it out with a fire
          extinguisher.
          cc: Risk Management, Safety","4/21/17 - 10:52 pm","4/21/17 - 10:52 pm      to 4/21/17 - 11:01 pm"
1701357,"4/21/17","Inactive Investigation","Seven Eleven","THEFT PETTY","THEFT-PETTY                              Theft Bicycle","A suspect removed a bicycle."," 4/21/17 - 7:30 pm                     Location: SEVEN ELEVEN                                                   Report #: 1701357
Occurred: 4/21/17 - 7:05 pm       to 4/21/17 - 7:05 pm                                      Disposition: Inactive Investigation
Incident: THEFT-PETTY                              Theft Bicycle
Summary: A suspect removed a bicycle.","4/21/17 - 7:30 pm","4/21/17 - 7:05 pm       to 4/21/17 - 7:05 pm"
1701358,"4/21/17","CLOSED","University Gateway Apartments","SERVICE","SERVICE                                  Injury Response","A student was transported to a local hospital for medical treatment after sustaining burns to her face."," 4/21/17 - 6:15 pm                     Location: UNIVERSITY GATEWAY APARTMENTS                                  Report #: 1701358
Occurred: 4/21/17 - 6:15 pm       to 4/21/17 - 11:38 pm                                     Disposition: CLOSED
Incident: SERVICE                                  Injury Response
Summary: A student was transported to a local hospital for medical treatment after sustaining burns to her face.
          cc: Student Affairs, Risk Management
","4/21/17 - 6:15 pm","4/21/17 - 6:15 pm       to 4/21/17 - 11:38 pm"
1701359,"4/21/17","CLOSED","Cardinal Gardens","SERVICE","SERVICE                                      Welfare Check","A welfare check was conducted on a student at the location and she was determined to be fine."," 4/21/17 - 10:33 pm                       Location: CARDINAL GARDENS                                       Report #: 1701359
Occurred: 4/21/17 - 10:33 pm       to 4/21/17 - 11:43 pm                                 Disposition: CLOSED
Incident: SERVICE                                      Welfare Check
Summary: A welfare check was conducted on a student at the location and she was determined to be fine.
          cc: Student Affairs","4/21/17 - 10:33 pm","4/21/17 - 10:33 pm       to 4/21/17 - 11:43 pm"
1701360,"4/21/17","Inactive Investigation","Facilities Trailer Two","VANDALISM","VANDALISM                                    Vandalism-Misdemeanor","A suspect smashed the front windshield of a University electric cart."," 4/21/17 - 11:32 pm                       Location: FACILITIES TRAILER TWO                                 Report #: 1701360
Occurred: 4/21/17 - 11:32 pm       to 4/22/17 - 12:05 am                                 Disposition: Inactive Investigation
Incident: VANDALISM                                    Vandalism-Misdemeanor
Summary: A suspect smashed the front windshield of a University electric cart.
          cc: Risk Management","4/21/17 - 11:32 pm","4/21/17 - 11:32 pm       to 4/22/17 - 12:05 am"
1701361,"4/22/17","Cleared by Exceptional Means","1013 24Th St","ALCOHOL","ALCOHOL                                      Alcohol/Drug Overdose","A student was transported to a local hospital for medical treatment following an alcohol overdose."," 4/22/17 - 1:30 am                        Location: 1013 24TH ST                                           Report #: 1701361
Occurred: 4/22/17 - 1:30 am        to 4/22/17 - 2:01 am                                  Disposition: Cleared by Exceptional Means
Incident: ALCOHOL                                      Alcohol/Drug Overdose
Summary: A student was transported to a local hospital for medical treatment following an alcohol overdose.
          cc: Student Affairs, Judicial Affairs","4/22/17 - 1:30 am","4/22/17 - 1:30 am        to 4/22/17 - 2:01 am"
1701362,"4/22/17","Cleared by Exceptional Means","Alpha Epsilon Pi","SERVICE","SERVICE                                      Injury Response","An intoxicated student was examined and released at the scene after he walked into a wire that was strung across the sidewalk"," 4/22/17 - 1:18 am                        Location: ALPHA EPSILON PI                                       Report #: 1701362
Occurred: 4/22/17 - 1:18 am        to 4/22/17 - 2:18 am                                  Disposition: Cleared by Exceptional Means
Incident: SERVICE                                      Injury Response
Summary: An intoxicated student was examined and released at the scene after he walked into a wire that was strung across the sidewalk
          in front of the location and fell to the ground.
          cc: Student Affairs, Judicial Affairs, Risk Management","4/22/17 - 1:18 am","4/22/17 - 1:18 am        to 4/22/17 - 2:18 am"
1701363,"4/22/17","Cleared by Exceptional Means","Century Apartments Alley","ALCOHOL","ALCOHOL                                      Drunk In Public","An intoxicated student was examined and released into the care of a friend."," 4/22/17 - 1:33 am                        Location: CENTURY APARTMENTS ALLEY                               Report #: 1701363
Occurred: 4/22/17 - 1:33 am        to 4/22/17 - 2:44 am                                  Disposition: Cleared by Exceptional Means
Incident: ALCOHOL                                      Drunk In Public
Summary: An intoxicated student was examined and released into the care of a friend.
          cc: Student Affairs, Judicial Affairs","4/22/17 - 1:33 am","4/22/17 - 1:33 am        to 4/22/17 - 2:44 am"
1701364,"4/22/17","CLOSED","Thomas & Dorothy Leavey Library","BATTERY","BATTERY                                      Battery","Two non-USC males were involved in a physical altercation outside the location. Neither of the subjects were injured nor"," 4/22/17 - 8:29 am                        Location: THOMAS & DOROTHY LEAVEY LIBRARY                        Report #: 1701364
Occurred: 4/22/17 - 8:29 am        to 4/22/17 - 10:02 am                                 Disposition: CLOSED
Incident: BATTERY                                      Battery
Summary: Two non-USC males were involved in a physical altercation outside the location. Neither of the subjects were injured nor
          desired criminal prosecution of the matter.
","4/22/17 - 8:29 am","4/22/17 - 8:29 am        to 4/22/17 - 10:02 am"
1701365,"4/22/17","CLOSED","Center Of Campus","SERVICE","SERVICE                                    Suspicious Circumstances","Two juveniles were detained for investigation after they were observed carrying a locked bicycle near the location, but the owner"," 4/22/17 - 3:00 pm                      Location: CENTER OF CAMPUS                                              Report #: 1701365
Occurred: 4/22/17 - 3:00 pm      to 4/22/17 - 3:42 pm                                     Disposition: CLOSED
Incident: SERVICE                                    Suspicious Circumstances
Summary: Two juveniles were detained for investigation after they were observed carrying a locked bicycle near the location, but the owner
          of the bike could not be determined and they were subsequently released.","4/22/17 - 3:00 pm","4/22/17 - 3:00 pm      to 4/22/17 - 3:42 pm"
NA,"4/22/17","Inactive Investigation","George Finley Bovard Administration","THEFT PETTY","THEFT-PETTY                                Theft Petty-Plain","A suspect removed a backpack."," 4/22/17 - 3:13 pm                      Location: GEORGE FINLEY BOVARD ADMINISTRATION                           Report #: 1701366
                                                            BUILDING
Occurred: 4/22/17 - 3:00 pm      to 4/22/17 - 3:05 pm                                     Disposition: Inactive Investigation
Incident: THEFT-PETTY                                Theft Petty-Plain
Summary: A suspect removed a backpack.","4/22/17 - 3:13 pm","4/22/17 - 3:00 pm      to 4/22/17 - 3:05 pm"
1701367,"4/22/17","Open","Cvs Pharmacy","THEFT PETTY","THEFT-PETTY                                Theft Petty-Plain","A suspect removed a purse."," 4/22/17 - 5:40 pm                      Location: CVS PHARMACY                                                  Report #: 1701367
Occurred: 4/22/17 - 5:40 pm      to 4/22/17 - 5:40 pm                                     Disposition: Open
Incident: THEFT-PETTY                                Theft Petty-Plain
Summary: A suspect removed a purse.","4/22/17 - 5:40 pm","4/22/17 - 5:40 pm      to 4/22/17 - 5:40 pm"
1701368,"4/22/17","CLOSED","Adams Bl & Hoover St","VEHICLE CODE","VEHICLE CODE                               Hit & Run - Misdemeanor","An unidentified subject drove a vehicle into a student's parked vehicle, then left without reporting the incident or leaving any"," 4/22/17 - 6:22 pm                      Location: ADAMS BL & HOOVER ST                                          Report #: 1701368
Occurred: 4/20/17 - 5:00 pm      to 4/22/17 - 8:15 am                                     Disposition: CLOSED
Incident: VEHICLE CODE                               Hit & Run - Misdemeanor
Summary: An unidentified subject drove a vehicle into a student's parked vehicle, then left without reporting the incident or leaving any
          contact information at the scene.","4/22/17 - 6:22 pm","4/20/17 - 5:00 pm      to 4/22/17 - 8:15 am"
1701369,"4/22/17","Inactive Investigation","Sigma Chi","SEX OFFENSE","SEX OFFENSE                                Rape","A student reported that she was sexually assaulted."," 4/22/17 - 4:20 pm                      Location: SIGMA CHI                                                     Report #: 1701369
Occurred: 4/22/17 - 1:00 pm      to 4/22/17 - 2:20 pm                                     Disposition: Inactive Investigation
Incident: SEX OFFENSE                                Rape
Summary: A student reported that she was sexually assaulted.
          cc: Student Affairs, Judicial Affairs, HR","4/22/17 - 4:20 pm","4/22/17 - 1:00 pm      to 4/22/17 - 2:20 pm"
1701370,"4/22/17","CLOSED","University Gateway Apartments","SERVICE","SERVICE                                    Welfare Check","A welfare check was conducted on a student at the location and she was determined to be fine."," 4/22/17 - 10:20 pm                     Location: UNIVERSITY GATEWAY APARTMENTS                                 Report #: 1701370
Occurred: 4/22/17 - 10:20 pm     to 4/22/17 - 11:51 pm                                    Disposition: CLOSED
Incident: SERVICE                                    Welfare Check
Summary: A welfare check was conducted on a student at the location and she was determined to be fine.
          cc: Student Affairs","4/22/17 - 10:20 pm","4/22/17 - 10:20 pm     to 4/22/17 - 11:51 pm"
1701371,"4/22/17","Cleared by Exceptional Means","Mccarthy Way Entrance","VEHICLE CODE","VEHICLE CODE                               Possession Fake Identification","A student was cited to Judicial Affairs for possession of a fake ID."," 4/22/17 - 11:43 pm                     Location: MCCARTHY WAY ENTRANCE                                         Report #: 1701371
Occurred: 4/22/17 - 11:43 pm     to 4/23/17 - 12:20 am                                    Disposition: Cleared by Exceptional Means
Incident: VEHICLE CODE                               Possession Fake Identification
Summary: A student was cited to Judicial Affairs for possession of a fake ID.
          cc: Student Affairs, Judicial Affairs
","4/22/17 - 11:43 pm","4/22/17 - 11:43 pm     to 4/23/17 - 12:20 am"
1701372,"4/23/17","Cleared Arrest","University Gateway Apartments","ASSAULT","ASSAULT                                    Assault-Other Dangerous Weapon","A student was arrested for assaulting another student."," 4/23/17 - 3:33 am                      Location: UNIVERSITY GATEWAY APARTMENTS                            Report #: 1701372
Occurred: 4/23/17 - 3:00 am       to 4/23/17 - 3:30 am                                   Disposition: Cleared Arrest
Incident: ASSAULT                                    Assault-Other Dangerous Weapon
Summary: A student was arrested for assaulting another student.
          cc: Student Affairs, Judicial Affairs, HR","4/23/17 - 3:33 am","4/23/17 - 3:00 am       to 4/23/17 - 3:30 am"
1701373,"4/23/17","Inactive Investigation","Keck Hospital Parking Bldg.","BURGLARY MOTOR VEHICLE","BURGLARY-MOTOR VEHICLE                     Burglary-Motor Vehicle","A suspect removed the vehicle battery."," 4/23/17 - 12:32 pm                     Location: KECK HOSPITAL PARKING BLDG.                              Report #: 1701373
Occurred: 4/19/17 - 7:00 am       to 4/23/17 - 12:00 pm                                  Disposition: Inactive Investigation
Incident: BURGLARY-MOTOR VEHICLE                     Burglary-Motor Vehicle
Summary: A suspect removed the vehicle battery.","4/23/17 - 12:32 pm","4/19/17 - 7:00 am       to 4/23/17 - 12:00 pm"
1701374,"4/23/17","CLOSED","Center Of Campus","PROPERTY","PROPERTY                                   Recovered Property Without a Crime","A camera was found at the location and turned in to DPS Lost & Found."," 4/23/17 - 4:02 pm                      Location: CENTER OF CAMPUS                                         Report #: 1701374
Occurred: 4/23/17 - 4:02 pm       to 4/23/17 - 4:04 pm                                   Disposition: CLOSED
Incident: PROPERTY                                   Recovered Property Without a Crime
Summary: A camera was found at the location and turned in to DPS Lost & Found.","4/23/17 - 4:02 pm","4/23/17 - 4:02 pm       to 4/23/17 - 4:04 pm"
1701375,"4/23/17","Cleared Arrest","Marianne & J.douglas Pardee Tower","BURGLARY OTHER","BURGLARY-OTHER                             Possession of Burglary Tools","A bike theft suspect was arrested for possession of burglary tools."," 4/23/17 - 4:33 pm                      Location: MARIANNE & J.DOUGLAS PARDEE TOWER                        Report #: 1701375
Occurred: 4/23/17 - 4:33 pm       to 4/23/17 - 5:54 pm                                   Disposition: Cleared Arrest
Incident: BURGLARY-OTHER                             Possession of Burglary Tools
Summary: A bike theft suspect was arrested for possession of burglary tools.","4/23/17 - 4:33 pm","4/23/17 - 4:33 pm       to 4/23/17 - 5:54 pm"
1701376,"4/23/17","CLOSED","General William Lyon University Center","SERVICE","SERVICE                                    Injury Response","A student was examined and released to seek medical treatment on his own after injuring his leg."," 4/23/17 - 8:03 pm                      Location: GENERAL WILLIAM LYON UNIVERSITY CENTER                   Report #: 1701376
Occurred: 4/23/17 - 8:03 pm       to 4/23/17 - 9:45 pm                                   Disposition: CLOSED
Incident: SERVICE                                    Injury Response
Summary: A student was examined and released to seek medical treatment on his own after injuring his leg.
          cc: Student Affairs, Risk Management","4/23/17 - 8:03 pm","4/23/17 - 8:03 pm       to 4/23/17 - 9:45 pm"
1701377,"4/24/17","Cleared by Exceptional Means","Annenberg House","EH S","EH&S                                       Smell of Smoke, Odor, Non-Fire","Four students were cited to Judicial Affairs for smoking marijuana in a room at the location."," 4/24/17 - 12:07 am                     Location: ANNENBERG HOUSE                                          Report #: 1701377
Occurred: 4/24/17 - 12:07 am      to 4/24/17 - 12:50 am                                  Disposition: Cleared by Exceptional Means
Incident: EH&S                                       Smell of Smoke, Odor, Non-Fire
Summary: Four students were cited to Judicial Affairs for smoking marijuana in a room at the location.
          cc: Student Affairs, Judicial Affairs","4/24/17 - 12:07 am","4/24/17 - 12:07 am      to 4/24/17 - 12:50 am"
